total_trans,total_success_trans,merchant,payment_method,payment_gateway,sub_type,date,hour_start,bank
1,1,pharmeasytech,CARD,PAYU,,2/14/2020,6,South Indian Bank
4,2,pharmeasytech,WALLET,AIRTELMONEY,REDIRECT_WALLET_DEBIT,2/14/2020,8,AIRTELMONEY
2,2,pharmeasytech,CARD,PAYU,,2/14/2020,9,Saraswat Bank
1,1,pharmeasytech,CARD,PAYU,,2/14/2020,12,The Bharat Cooperative Bank
1,0,fanfight,CARD,GOCASHFREE,,2/14/2020,10,Tamilnad Mercantile Bank
1,1,fanfight,CARD,RAZORPAY,,2/14/2020,11,SOUTHCAROLINAF.C.U.
1,0,fanfight,NB,RAZORPAY,,2/14/2020,6,NB_PNJSB
1,1,pharmeasytech,CARD,PAYU,,2/14/2020,3,DCB
2,0,drivezy,CARD,GOCASHFREE,,2/14/2020,3,BCCARDCO..LTD.
1,0,urbanclap,CARD,PAYTM,,2/14/2020,4,BANCAMORA.S.A.
1,1,urbanclap,CARD,PAYTM,,2/14/2020,5,Mudra Bank
1,0,fanfight,NB,RAZORPAY,,2/14/2020,12,NB_SBM
1,1,pharmeasytech,CARD,PAYU,,2/14/2020,9,Barclays Bank
1,0,medlife_prod,NB,RAZORPAY,,2/14/2020,10,NB_JSB
1,1,zivame,NB,PAYU,,2/14/2020,1,NB_VJYB
4,0,medlife_prod,NB,RAZORPAY,,2/14/2020,9,NB_SYNB
1,0,urbanclap,NB,PAYTM,,2/14/2020,8,NB_ANDHRA
1,0,drivezy,NB,GOCASHFREE,,2/14/2020,20,NB_SOIB
1,1,pharmeasytech,NB,PAYU,,2/14/2020,6,NB_DCB
1,0,pharmeasytech,NB,PAYTM,,2/14/2020,16,NB_IOB
1,0,purplle.com,NB,PAYU,,2/14/2020,16,NB_OBC
1,1,medlife_prod,NB,RAZORPAY,,2/14/2020,17,NB_SCB
1,1,zivame,CARD,HDFC,,2/14/2020,14,Tamilnad Mercantile Bank
1,1,fanfight,CARD,GOCASHFREE,,2/14/2020,14,Bandhan Bank
1,1,fanfight,CARD,GOCASHFREE,,2/14/2020,13,BARODA UTTAR PRADESH GRAMIN BANK
1,1,fanfight,CARD,GOCASHFREE,,2/14/2020,15,Bandhan Bank
1,1,fanfight,CARD,GOCASHFREE,,2/14/2020,15,J AND K GRAMEEN BANK
1,1,pharmeasytech,NB,RAZORPAY,,2/14/2020,15,NB_ALLB
2,2,drivezy,CARD,GOCASHFREE,,2/14/2020,17,Karur Vysya Bank
3,0,fanfight,CARD,GOCASHFREE,,2/14/2020,15,JILA SAHAKARI KENDRIYA BANK MYDT JAGDALPUR
1,0,drivezy,NB,GOCASHFREE,,2/14/2020,10,NB_VJYB
1,1,urbanclap,CARD,PAYTM,,2/14/2020,11,Deutsche Bank
1,1,drivezy,CARD,GOCASHFREE,,2/14/2020,13,SOUTHCAROLINAF.C.U.
2,1,purplle.com,CARD,PAYTM,,2/14/2020,12,City Union Bank
1,1,pharmeasytech,NB,PAYU,,2/14/2020,1,NB_UNIB
1,1,zivame,NB,PAYU,,2/14/2020,11,NB_CITI
3,0,urbanclap,NB,PAYTM,,2/14/2020,7,NB_DEUT
1,1,drivezy,CARD,GOCASHFREE,,2/14/2020,6,Lakshmi Vilas Bank
1,1,urbanclap,NB,PAYTM,,2/14/2020,9,NB_OBC
2,0,drivezy,NB,GOCASHFREE,,2/14/2020,10,NB_KARN
1,1,medlife_prod,NB,RAZORPAY,,2/14/2020,5,NB_SCB
4,0,urbanclap,NB,PAYTM,,2/14/2020,0,NB_CUB
1,0,purplle.com,CONSUMER_FINANCE,PAYU,,2/14/2020,13,ZESTMONEY
2,0,purplle.com,NB,PAYU,,2/14/2020,6,NB_SOIB
2,1,urbanclap,NB,PAYTM,,2/14/2020,8,NB_INDUS
1,1,pharmeasytech,CARD,PAYU,,2/14/2020,12,GP Parsik Bank
1,0,pharmeasytech,NB,PAYU,,2/14/2020,3,NB_CORP
2,2,pharmeasytech,CARD,PAYU,,2/14/2020,7,South Indian Bank
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2/14/2020,3,PAYZAPP
1,0,urbanclap,NB,PAYU,,2/14/2020,5,NB_PNBCORP
1,0,fanfight,CARD,RAZORPAY,,2/14/2020,14,COMMUNITYBANK
1,0,medlife_prod,NB,RAZORPAY,,2/14/2020,4,NB_CORP
1,1,medlife_prod,NB,RAZORPAY,,2/14/2020,15,NB_BOM
1,0,drivezy,CONSUMER_FINANCE,EPAYLATER,,2/14/2020,16,EPAYLATER
1,1,pharmeasytech,CARD,PAYU,,2/14/2020,16,Bandhan Bank
4,4,fanfight,NB,PAYTM,,2/14/2020,15,NB_IDFC
1,0,fanfight,NB,RAZORPAY,,2/14/2020,14,NB_INDB
1,0,purplle.com,CARD,PAYTM,,2/14/2020,16,THE DISTRICT CO OP BANK LTD DEHRADUN
2,0,zivame,NB,PAYU,,2/14/2020,19,NB_KVB
1,0,drivezy,CARD,GOCASHFREE,,2/14/2020,20,South Indian Bank
3,1,fanfight,CARD,GOCASHFREE,,2/14/2020,15,SHIVAJI NAGARI SAHAKARI BANK LTD
1,0,fanfight,NB,RAZORPAY,,2/14/2020,15,NB_OBC
1,0,purplle.com,NB,PAYU,,2/14/2020,15,NB_PNJSB
1,1,purplle.com,CARD,PAYTM,,2/14/2020,14,CHHATTISGARH RAJYA GRAMIN BANK
1,0,medlife_prod,NB,RAZORPAY,,2/14/2020,17,NB_PNBCORP
2,0,fanfight,NB,RAZORPAY,,2/14/2020,2,NB_BOM
1,1,medlife_prod,CARD,TPSL,,2/14/2020,11,BCCARDCO..LTD.
1,1,urbanclap,NB,PAYTM,,2/14/2020,4,NB_SARASB
1,1,urbanclap,CARD,PAYTM,,2/14/2020,5,Deutsche Bank
2,0,fanfight,NB,RAZORPAY,,2/14/2020,5,NB_OBC
1,0,urbanclap,CARD,PAYTM,,2/14/2020,5,Chase Bank
1,0,fanfight,NB,RAZORPAY,,2/14/2020,9,NB_JNK
1,1,fanfight,CARD,GOCASHFREE,,2/14/2020,6,THE BAGHAT URBAN COOP BANK LTD
1,0,countrydelight,NB,PAYU,,2/14/2020,5,NB_SYNB
1,1,urbanclap,CARD,PAYTM,,2/14/2020,9,South Indian Bank
2,2,purplle.com,CARD,PAYTM,,2/14/2020,7,UTTARAKHAND GRAMIN BANK
1,1,zivame,CARD,PAYU,,2/14/2020,11,ODISHA GRAMYA BANK
1,1,pharmeasytech,CARD,PAYU,,2/14/2020,8,Bassein Catholic Bank
1,1,purplle.com,CARD,PAYTM,,2/14/2020,11,South Indian Bank
3,0,medlife_prod,CARD,TPSL,,2/14/2020,8,THE KARNATAKA STATE COOPERATIVE APEX BANK LTD AS I
1,0,countrydelight,CARD,PAYU,,2/14/2020,6,SOUTHCAROLINAF.C.U.
2,1,purplle.com,CARD,PAYTM,,2/14/2020,20,Mudra Bank
1,0,fanfight,NB,RAZORPAY,,2/14/2020,16,NB_UCOB
1,1,fanfight,CARD,GOCASHFREE,,2/14/2020,15,United Bank of India
2,2,fanfight,CARD,GOCASHFREE,,2/14/2020,15,Karur Vysya Bank
1,1,drivezy,CARD,GOCASHFREE,,2/14/2020,18,Karur Vysya Bank
1,0,countrydelight,NB,PAYTM,,2/14/2020,13,NB_DBS
1,1,pharmeasytech,CARD,PAYU,,2/14/2020,19,Saraswat Bank
1,0,zivame,CARD,HDFC,,2/14/2020,14,Karur Vysya Bank
2,1,purplle.com,CARD,PAYTM,,2/14/2020,15,THE PALAKKAD DISTRICT COOPERATIVE BANK LTD
1,1,pharmeasytech,NB,PAYU,,2/14/2020,18,NB_FED
1,0,urbanclap,CARD,PAYTM,,2/14/2020,18,ADCB
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2/14/2020,14,PAYZAPP
1,1,fanfight,NB,RAZORPAY,,2/13/2020,1,NB_ANDHRA
2,0,countrydelight,NB,PAYU,,2/13/2020,0,NB_AIRTEL
1,1,pharmeasytech,NB,RAZORPAY,,2/13/2020,12,NB_ALLB
1,0,drivezy,NB,GOCASHFREE,,2/13/2020,4,NB_UNIB
1,1,countrydelight,CARD,PAYU,,2/13/2020,0,THANE JANATA SAHAKARI BANK LTD
1,1,pharmeasytech,CARD,PAYU,,2/13/2020,8,IDFC Bank
1,1,zivame,CARD,PAYU,,2/13/2020,13,THE NAINITAL BANK LTD
3,3,pharmeasytech,CARD,PAYU,,2/13/2020,4,Abhyudaya Cooperative Bank
1,1,zivame,CARD,PAYU,,2/13/2020,8,Bandhan Bank
3,0,purplle.com,WALLET,,,2/13/2020,8,UNDEFINED
1,1,urbanclap,NB,PAYTM,,2/13/2020,5,NB_INDB
1,0,pharmeasytech,CARD,PAYU,,2/13/2020,9,POCAVALLEYBANK.INC.
2,0,fanfight,NB,PAYTM,,2/13/2020,0,NB_IDFC
1,1,urbanclap,CARD,PAYTM,,2/13/2020,1,BCCARDCO..LTD.
1,0,fanfight,NB,RAZORPAY,,2/13/2020,3,NB_OBC
1,0,fanfight,NB,RAZORPAY,,2/13/2020,1,NB_BOBCORP
2,0,drivezy,NB,GOCASHFREE,,2/13/2020,10,NB_BOM
5,1,drivezy,CARD,GOCASHFREE,,2/13/2020,5,Kotak Bank
3,2,fanfight,CARD,GOCASHFREE,,2/13/2020,13,SHIVAJI NAGARI SAHAKARI BANK LTD
1,1,pharmeasytech,CARD,PAYU,,2/13/2020,13,THE KODAGU DISTRICT COOP CENTRAL BANK LTD
1,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2/13/2020,5,PAYZAPP
2,2,urbanclap,NB,PAYTM,,2/13/2020,9,NB_INDB
1,0,fanfight,NB,RAZORPAY,,2/13/2020,10,NB_DENA
2,0,countrydelight,CARD,PAYU,,2/13/2020,16,MONEYACCESSSERVICE.INC.
2,1,urbanclap,NB,PAYTM,,2/13/2020,14,NB_RBL
2,0,countrydelight,CARD,PAYU,,2/13/2020,17,MONEYACCESSSERVICE.INC.
1,0,medlife_prod,NB,RAZORPAY,,2/13/2020,16,NB_BOBCORP
3,2,purplle.com,CARD,PAYTM,,2/13/2020,18,Punjab and Sind Bank
1,0,pharmeasytech,NB,PAYU,,2/13/2020,15,NB_INDUS
1,0,medlife_prod,NB,RAZORPAY,,2/13/2020,17,NB_UCOB
1,0,fanfight,NB,RAZORPAY,,2/13/2020,15,NB_SBP
1,0,zivame,NB,PAYU,,2/13/2020,19,NB_INDB
1,1,urbanclap,NB,PAYTM,,2/14/2020,4,NB_KARN
1,0,countrydelight,NB,PAYU,,2/14/2020,7,NB_IOB
1,1,medlife_prod,NB,RAZORPAY,,2/14/2020,10,NB_SARASB
1,1,pharmeasytech,CARD,PAYU,,2/14/2020,10,MONEYACCESSSERVICE.INC.
2,2,purplle.com,CARD,PAYTM,,2/14/2020,6,SOUTHCAROLINAF.C.U.
1,1,purplle.com,NB,PAYU,,2/14/2020,11,NB_INDB
2,1,countrydelight,NB,PAYU,,2/14/2020,5,NB_CITI
6,3,medlife_prod,CARD,TPSL,,2/14/2020,7,South Indian Bank
1,0,pharmeasytech,NB,RAZORPAY,,2/14/2020,7,NB_SCB
1,1,pharmeasytech,CARD,PAYU,,2/14/2020,4,THE GREATER BOMBAY COOP BANK LTD
1,1,urbanclap,CARD,PAYTM,,2/14/2020,4,MONEYACCESSSERVICE.INC.
1,0,fanfight,NB,RAZORPAY,,2/14/2020,8,NB_ALLB
2,0,fanfight,NB,RAZORPAY,,2/14/2020,4,NB_SYNB
1,1,medlife_prod,NB,RAZORPAY,,2/14/2020,6,NB_ANDHRA
1,0,fanfight,NB,RAZORPAY,,2/14/2020,15,NB_PNBCORP
1,1,zivame,CARD,PAYU,,2/14/2020,14,Bandhan Bank
1,0,purplle.com,NB,PAYU,,2/14/2020,16,NB_FED
1,1,medlife_prod,NB,RAZORPAY,,2/14/2020,14,NB_SCB
2,0,fanfight,NB,RAZORPAY,,2/14/2020,15,NB_ALLB
1,1,purplle.com,CARD,PAYTM,,2/14/2020,15,South Indian Bank
1,0,purplle.com,NB,PAYU,,2/14/2020,18,NB_PNJSB
2,2,drivezy,CARD,GOCASHFREE,,2/14/2020,16,THE ADARSH COOP URBAN BANK LTD
4,0,fanfight,NB,RAZORPAY,,2/12/2020,7,NB_ALLB
1,1,fanfight,CARD,GOCASHFREE,,2/12/2020,2,ANDHRA PRADESH GRAMEENA VIKAS BANK
3,0,fanfight,NB,RAZORPAY,,2/12/2020,3,NB_CBI
1,1,pharmeasytech,NB,PAYU,,2/12/2020,7,NB_OBC
2,2,medlife_prod,NB,RAZORPAY,,2/12/2020,6,NB_IOB
1,0,pharmeasytech,NB,PAYTM,,2/12/2020,6,NB_CBI
1,1,purplle.com,CARD,PAYTM,,2/12/2020,6,Punjab and Sind Bank
1,1,medlife_prod,NB,RAZORPAY,,2/12/2020,6,NB_KVB
1,1,fanfight,NB,PAYTM,,2/12/2020,3,NB_IDFC
1,1,pharmeasytech,CARD,PAYU,,2/12/2020,3,SOUTHCAROLINAF.C.U.
2,0,fanfight,NB,RAZORPAY,,2/12/2020,1,NB_UNIB
1,0,purplle.com,NB,PAYTM,,2/12/2020,4,NB_BHARAT
3,3,medlife_prod,NB,RAZORPAY,,2/12/2020,12,NB_SCB
2,0,urbanclap,NB,PAYTM,,2/12/2020,7,NB_FED
2,0,urbanclap,NB,PAYTM,,2/12/2020,12,NB_IDFC
1,1,countrydelight,CARD,PAYU,,2/12/2020,6,DCB
1,1,medlife_prod,CARD,TPSL,,2/12/2020,10,ZILA SAHKARI BANK LTD MEERUT
1,0,countrydelight,CARD,PAYU,,2/12/2020,10,IDFC Bank
1,1,urbanclap,CARD,PAYTM,,2/12/2020,11,SOUTHCAROLINAF.C.U.
2,1,pharmeasytech,NB,PAYU,,2/12/2020,13,NB_INDB
1,0,urbanclap,CARD,PAYTM,,2/12/2020,3,Chase Bank
1,0,urbanclap,NB,PAYTM,,2/12/2020,5,NB_INDB
2,0,medlife_prod,NB,RAZORPAY,,2/12/2020,2,NB_INDB
1,1,medlife_prod,NB,RAZORPAY,,2/12/2020,5,NB_ANDHRA
1,1,medlife_prod,CARD,TPSL,,2/12/2020,8,MONEYACCESSSERVICE.INC.
2,0,purplle.com,NB,PAYU,,2/12/2020,10,NB_KARN
1,1,zivame,CARD,PAYU,,2/12/2020,15,Tamilnad Mercantile Bank
1,0,drivezy,NB,GOCASHFREE,,2/12/2020,16,NB_FED
1,1,urbanclap,CARD,PAYTM,,2/12/2020,16,South Indian Bank
2,1,medlife_prod,CARD,TPSL,,2/12/2020,15,IDFC Bank
1,1,countrydelight,CARD,PAYU,,2/12/2020,15,Thanjavur Central Coop Bank
2,1,drivezy,CARD,GOCASHFREE,,2/12/2020,18,South Indian Bank
3,0,fanfight,NB,RAZORPAY,,2/12/2020,14,NB_ANDHRA
1,1,medlife_prod,CARD,TPSL,,2/12/2020,16,Airtel Payments Bank
4,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2/12/2020,15,PAYZAPP
1,0,purplle.com,NB,PAYTM,,2/12/2020,19,NB_IDFC
1,1,medlife_prod,NB,RAZORPAY,,2/12/2020,13,NB_FED
1,1,zivame,CARD,PAYU,,2/12/2020,10,SARVA HARYANA GRAMIN BANK
1,1,medlife_prod,CARD,TPSL,,2/12/2020,13,Mudra Bank
2,0,countrydelight,NB,PAYU,,2/12/2020,2,NB_AIRTEL
2,2,fanfight,CARD,RAZORPAY,,2/12/2020,12,Kotak Bank
3,2,medlife_prod,CARD,TPSL,,2/12/2020,2,The Catholic Syrian Bank
3,2,fanfight,CARD,RAZORPAY,,2/12/2020,12,Airtel Payments Bank
2,1,pharmeasytech,NB,PAYU,,2/12/2020,6,NB_CORP
1,1,pharmeasytech,CARD,PAYU,,2/12/2020,3,THE AKOLA DISTRICT CENTRAL COOP BANK LTD
1,0,urbanclap,NB,PAYTM,,2/12/2020,0,NB_OBC
1,1,medlife_prod,CARD,TPSL,,2/12/2020,10,IDFC Bank
1,0,urbanclap,NB,PAYTM,,2/12/2020,12,NB_INDUS
2,2,pharmeasytech,CARD,PAYU,,2/12/2020,9,Mudra Bank
3,0,urbanclap,CARD,PAYTM,,2/12/2020,7,Kotak Bank
2,2,fanfight,CARD,RAZORPAY,,2/12/2020,2,Mudra Bank
4,2,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2/12/2020,9,JIOMONEY
2,2,pharmeasytech,CARD,PAYU,,2/12/2020,2,Mudra Bank
1,0,pharmeasytech,UPI,,UPI_COLLECT,2/12/2020,9,Zeta
1,1,pharmeasytech,CARD,PAYU,,2/12/2020,4,The Bharat Cooperative Bank
2,1,medlife_prod,NB,RAZORPAY,,2/12/2020,6,NB_SARASB
3,0,drivezy,WALLET,RAZORPAY,REDIRECT_WALLET_DEBIT,2/12/2020,7,AIRTELMONEY
3,0,fanfight,NB,RAZORPAY,,2/12/2020,8,NB_CUB
2,0,fanfight,NB,RAZORPAY,,2/12/2020,8,NB_ALLB
1,0,zivame,CARD,HDFC,,2/12/2020,5,OPERATINGENGINEERSLOCAL#3F.C.U.
1,0,fanfight,NB,RAZORPAY,,2/12/2020,9,NB_IOB
3,0,fanfight,NB,RAZORPAY,,2/12/2020,15,NB_OBC
2,0,drivezy,CONSUMER_FINANCE,EPAYLATER,,2/12/2020,18,EPAYLATER
